evaluation,metric,average,DIRECT,NO,JUDGEMENTAL
EVALUATION_1,ICM,-0.16468315867782132,,,
EVALUATION_1,ICM-Norm,0.443695396180242,,,
EVALUATION_1,F1,0.38162835828418773,0.5073529411764706,0.6375321336760925,0.0
EVALUATION_1,Pr,0.4704166135813479,0.41317365269461076,0.5276595744680851,
EVALUATION_1,Re,0.4874458874458874,0.6571428571428571,0.8051948051948052,0.0
EVALUATION_2,ICM,-0.0676393459118928,,,
EVALUATION_2,ICM-Norm,0.47649739592709334,,,
EVALUATION_2,F1,0.41239210284664835,0.525,0.6721763085399448,0.039999999999999994
EVALUATION_2,Pr,0.6766515732032974,0.41379310344827586,0.6161616161616161,1.0
EVALUATION_2,Re,0.4925836068693212,0.717948717948718,0.7393939393939394,0.02040816326530612
EVALUATION_3,ICM,-0.2654046601085217,,,
EVALUATION_3,ICM-Norm,0.4104015174532071,,,
EVALUATION_3,F1,0.3583522732458903,0.4984802431610943,0.5765765765765766,0.0
EVALUATION_3,Pr,0.4442214790040877,0.3961352657004831,0.49230769230769234,
EVALUATION_3,Re,0.45592777381800903,0.6721311475409836,0.6956521739130435,0.0
EVALUATION_4,ICM,-0.08014691197558323,,,
EVALUATION_4,ICM-Norm,0.47246256211967586,,,
EVALUATION_4,F1,0.3841904003667113,0.5300546448087432,0.6225165562913907,0.0
EVALUATION_4,Pr,0.5019686589495236,0.3895582329317269,0.6143790849673203,
EVALUATION_4,Re,0.4866441040937685,0.8290598290598291,0.6308724832214765,0.0
EVALUATION_5,ICM,-0.14929933564238038,,,
EVALUATION_5,ICM-Norm,0.4494940192355487,,,
EVALUATION_5,F1,0.3842748393830871,0.5469613259668509,0.6058631921824105,0.0
EVALUATION_5,Pr,0.48689148073022315,0.4267241379310345,0.5470588235294118,
EVALUATION_5,Re,0.48012352610892756,0.7615384615384615,0.6788321167883211,0.0
average,F1,0.384167594825305,0.5215698310226318,0.622932953453283,0.007999999999999998
average,ICM,-0.1454346824632399,,,
average,ICM-Norm,0.4505101781831534,,,
average,Pr,0.516029961093696,0.40787687854122623,0.5595133582868251,1.0
average,Re,0.48054497966718274,0.7275642026461698,0.7099891037023172,0.004081632653061224
